timestamp,date,hour_utc,minute,outcome,up_price,down_price,btc_open,btc_close,btc_change_pct
1773619200,2026-03-16,0,0,up,1.0,0.0,72815.25,72942.17,0.1743
1773619500,2026-03-16,0,5,down,0.0,1.0,72942.17,72886.16,-0.0768
1773619800,2026-03-16,0,10,down,0.0,1.0,72886.15,72714.59,-0.2354
1773620100,2026-03-16,0,15,down,0.0,1.0,72714.6,72671.86,-0.0588
1773620400,2026-03-16,0,20,down,0.0,1.0,72671.86,72545.01,-0.1746
1773620700,2026-03-16,0,25,down,0.0,1.0,72545.01,72512.3,-0.0451
1773621000,2026-03-16,0,30,up,1.0,0.0,72512.31,72610.5,0.1354
1773621300,2026-03-16,0,35,down,0.0,1.0,72610.5,72537.2,-0.1009
1773621600,2026-03-16,0,40,down,0.0,1.0,72537.21,72515.54,-0.0299
1773621900,2026-03-16,0,45,up,1.0,0.0,72515.53,72606.67,0.1257
1773622200,2026-03-16,0,50,up,1.0,0.0,72606.66,72595.0,-0.0161
1773622500,2026-03-16,0,55,down,0.0,1.0,72594.99,72531.26,-0.0878
1773622800,2026-03-16,1,0,down,0.0,1.0,72531.27,72376.93,-0.2128
1773623100,2026-03-16,1,5,up,1.0,0.0,72376.93,72423.97,0.065
1773623400,2026-03-16,1,10,down,0.0,1.0,72423.97,72317.19,-0.1474
1773623700,2026-03-16,1,15,up,1.0,0.0,72317.19,72469.99,0.2113
1773624000,2026-03-16,1,20,up,1.0,0.0,72469.99,72608.57,0.1912
1773624300,2026-03-16,1,25,up,1.0,0.0,72609.46,72645.39,0.0495
1773624600,2026-03-16,1,30,down,0.0,1.0,72645.38,72553.38,-0.1266
1773624900,2026-03-16,1,35,up,1.0,0.0,72553.38,72571.94,0.0256
1773625200,2026-03-16,1,40,up,1.0,0.0,72571.93,72590.46,0.0255
1773625500,2026-03-16,1,45,up,1.0,0.0,72590.47,72628.92,0.053
1773625800,2026-03-16,1,50,up,1.0,0.0,72628.93,72827.17,0.2729
1773626100,2026-03-16,1,55,down,0.0,1.0,72827.01,72752.9,-0.1018
1773626400,2026-03-16,2,0,up,1.0,0.0,72752.9,72852.27,0.1366
1773626700,2026-03-16,2,5,down,0.0,1.0,72852.28,72809.99,-0.058
1773627000,2026-03-16,2,10,down,0.0,1.0,72809.99,72694.37,-0.1588
1773627300,2026-03-16,2,15,down,0.0,1.0,72694.37,72580.0,-0.1573
1773627600,2026-03-16,2,20,down,0.0,1.0,72580.0,72515.0,-0.0896
1773627900,2026-03-16,2,25,down,0.0,1.0,72515.01,72451.44,-0.0877
1773628200,2026-03-16,2,30,down,0.0,1.0,72451.43,72394.0,-0.0793
1773628500,2026-03-16,2,35,up,1.0,0.0,72394.0,72430.76,0.0508
1773628800,2026-03-16,2,40,up,1.0,0.0,72430.75,72444.13,0.0185
1773629100,2026-03-16,2,45,up,1.0,0.0,72444.13,72445.1,0.0013
1773629400,2026-03-16,2,50,up,1.0,0.0,72445.1,72522.27,0.1065
1773629700,2026-03-16,2,55,down,0.0,1.0,72522.27,72514.69,-0.0105
1773630000,2026-03-16,3,0,up,1.0,0.0,72514.69,72577.29,0.0863
1773630300,2026-03-16,3,5,up,1.0,0.0,72577.29,72580.39,0.0043
1773630600,2026-03-16,3,10,down,0.0,1.0,72580.38,72528.13,-0.072
1773630900,2026-03-16,3,15,up,1.0,0.0,72528.12,72602.25,0.1022
1773631200,2026-03-16,3,20,up,1.0,0.0,72602.25,72842.98,0.3316
1773631500,2026-03-16,3,25,up,1.0,0.0,72842.99,72857.64,0.0201
1773631800,2026-03-16,3,30,up,1.0,0.0,72857.64,73728.64,1.1955
1773632100,2026-03-16,3,35,up,1.0,0.0,73728.64,73996.87,0.3638
1773632400,2026-03-16,3,40,down,0.0,1.0,73996.88,73769.99,-0.3066
1773632700,2026-03-16,3,45,down,0.0,1.0,73770.0,73644.89,-0.1696
1773633000,2026-03-16,3,50,up,1.0,0.0,73644.89,73743.94,0.1345
1773633300,2026-03-16,3,55,down,0.0,1.0,73743.94,73573.32,-0.2314
1773633600,2026-03-16,4,0,up,1.0,0.0,73573.31,73721.55,0.2015
1773633900,2026-03-16,4,5,down,0.0,1.0,73721.55,73672.79,-0.0661
1773634200,2026-03-16,4,10,up,1.0,0.0,73672.79,73695.95,0.0314
1773634500,2026-03-16,4,15,up,1.0,0.0,73695.95,73816.59,0.1637
1773634800,2026-03-16,4,20,up,1.0,0.0,73816.59,73813.33,-0.0044
1773635100,2026-03-16,4,25,down,0.0,1.0,73813.32,73605.9,-0.281
1773635400,2026-03-16,4,30,up,1.0,0.0,73605.9,73688.37,0.112
1773635700,2026-03-16,4,35,down,0.0,1.0,73688.37,73660.01,-0.0385
1773636000,2026-03-16,4,40,down,0.0,1.0,73660.0,73632.81,-0.0369
1773636300,2026-03-16,4,45,up,1.0,0.0,73632.82,74011.08,0.5137
1773636600,2026-03-16,4,50,up,1.0,0.0,74011.08,74345.52,0.4519
1773636900,2026-03-16,4,55,down,0.0,1.0,74345.52,73835.62,-0.6859
1773637200,2026-03-16,5,0,down,0.0,1.0,73835.62,73831.7,-0.0053
1773637500,2026-03-16,5,5,up,1.0,0.0,73831.69,73896.74,0.0881
1773637800,2026-03-16,5,10,down,0.0,1.0,73896.73,73866.52,-0.0409
1773638100,2026-03-16,5,15,up,1.0,0.0,73866.51,73894.35,0.0377
1773638400,2026-03-16,5,20,up,1.0,0.0,73894.35,73943.95,0.0671
1773638700,2026-03-16,5,25,down,0.0,1.0,73943.95,73909.56,-0.0465
1773639000,2026-03-16,5,30,down,0.0,1.0,73909.56,73785.96,-0.1672
1773639300,2026-03-16,5,35,up,1.0,0.0,73785.97,73941.78,0.2112
1773639600,2026-03-16,5,40,up,1.0,0.0,73941.77,74045.37,0.1401
1773639900,2026-03-16,5,45,up,1.0,0.0,74045.38,74074.95,0.0399
1773640200,2026-03-16,5,50,down,0.0,1.0,74074.95,74058.74,-0.0219
1773640500,2026-03-16,5,55,up,1.0,0.0,74058.74,74207.49,0.2009
1773640800,2026-03-16,6,0,down,0.0,1.0,74207.49,73906.28,-0.4059
1773641100,2026-03-16,6,5,down,0.0,1.0,73906.27,73718.7,-0.2538
1773641400,2026-03-16,6,10,down,0.0,1.0,73718.7,73715.13,-0.0048
1773641700,2026-03-16,6,15,up,1.0,0.0,73715.13,73791.07,0.103
1773642000,2026-03-16,6,20,up,1.0,0.0,73791.06,73783.54,-0.0102
1773642300,2026-03-16,6,25,down,0.0,1.0,73782.78,73711.0,-0.0973
1773642600,2026-03-16,6,30,up,1.0,0.0,73710.99,73727.16,0.0219
1773642900,2026-03-16,6,35,up,1.0,0.0,73727.16,73822.29,0.129
1773643200,2026-03-16,6,40,up,1.0,0.0,73822.28,73826.98,0.0064
1773643500,2026-03-16,6,45,down,0.0,1.0,73826.98,73808.11,-0.0256
1773643800,2026-03-16,6,50,down,0.0,1.0,73808.1,73792.99,-0.0205
1773644100,2026-03-16,6,55,down,0.0,1.0,73793.0,73714.36,-0.1066
1773644400,2026-03-16,7,0,up,1.0,0.0,73714.36,73866.54,0.2064
1773644700,2026-03-16,7,5,up,1.0,0.0,73866.54,73868.48,0.0026
1773645000,2026-03-16,7,10,down,0.0,1.0,73868.48,73852.84,-0.0212
1773645300,2026-03-16,7,15,down,0.0,1.0,73852.83,73755.25,-0.1321
1773645600,2026-03-16,7,20,down,0.0,1.0,73755.24,73700.01,-0.0749
1773645900,2026-03-16,7,25,up,1.0,0.0,73700.01,73835.35,0.1836
1773646200,2026-03-16,7,30,down,0.0,1.0,73835.35,73669.01,-0.2253
1773646500,2026-03-16,7,35,down,0.0,1.0,73669.01,73473.18,-0.2658
1773646800,2026-03-16,7,40,up,1.0,0.0,73473.19,73484.86,0.0159
1773647100,2026-03-16,7,45,down,0.0,1.0,73484.86,73458.35,-0.0361
1773647400,2026-03-16,7,50,down,0.0,1.0,73458.36,73454.43,-0.0053
1773647700,2026-03-16,7,55,down,0.0,1.0,73454.43,73456.68,0.0031
1773648000,2026-03-16,8,0,up,1.0,0.0,73456.69,73676.64,0.2994
1773648300,2026-03-16,8,5,up,1.0,0.0,73676.63,73696.41,0.0268
1773648600,2026-03-16,8,10,down,0.0,1.0,73696.42,73514.27,-0.2472
1773648900,2026-03-16,8,15,down,0.0,1.0,73514.27,73472.36,-0.057
1773649200,2026-03-16,8,20,up,1.0,0.0,73472.37,73521.8,0.0673
1773649500,2026-03-16,8,25,down,0.0,1.0,73521.79,73352.06,-0.2309
1773649800,2026-03-16,8,30,down,0.0,1.0,73352.05,73243.11,-0.1485
1773650100,2026-03-16,8,35,down,0.0,1.0,73243.1,73201.17,-0.0572
1773650400,2026-03-16,8,40,down,0.0,1.0,73201.17,72906.56,-0.4025
1773650700,2026-03-16,8,45,up,1.0,0.0,72906.56,73071.3,0.226
1773651000,2026-03-16,8,50,up,1.0,0.0,73071.3,73170.28,0.1355
1773651300,2026-03-16,8,55,down,0.0,1.0,73170.27,73135.0,-0.0482
1773651600,2026-03-16,9,0,down,0.0,1.0,73135.0,73122.17,-0.0175
1773651900,2026-03-16,9,5,up,1.0,0.0,73122.18,73168.28,0.063
1773652200,2026-03-16,9,10,down,0.0,1.0,73168.29,73132.46,-0.049
1773652500,2026-03-16,9,15,up,1.0,0.0,73132.47,73200.01,0.0924
1773652800,2026-03-16,9,20,down,0.0,1.0,73200.0,73181.97,-0.0246
1773653100,2026-03-16,9,25,up,1.0,0.0,73181.96,73278.0,0.1312
1773653400,2026-03-16,9,30,down,0.0,1.0,73277.99,73213.34,-0.0882
1773653700,2026-03-16,9,35,down,0.0,1.0,73213.35,73190.48,-0.0312
1773654000,2026-03-16,9,40,up,1.0,0.0,73190.48,73201.4,0.0149
1773654300,2026-03-16,9,45,up,1.0,0.0,73201.39,73293.24,0.1255
1773654600,2026-03-16,9,50,down,0.0,1.0,73293.23,73280.01,-0.018
1773654900,2026-03-16,9,55,down,0.0,1.0,73280.01,73260.92,-0.0261
1773655200,2026-03-16,10,0,up,1.0,0.0,73260.92,73406.32,0.1985
1773655500,2026-03-16,10,5,down,0.0,1.0,73406.31,73362.46,-0.0597
1773655800,2026-03-16,10,10,down,0.0,1.0,73362.46,73338.33,-0.0329
1773656100,2026-03-16,10,15,down,0.0,1.0,73338.33,73322.65,-0.0214
1773656400,2026-03-16,10,20,up,1.0,0.0,73322.66,73446.77,0.1693
1773656700,2026-03-16,10,25,down,0.0,1.0,73446.77,73453.71,0.0094
